Device	Assay Name	AssayType	AssayTypeCode	Species	Name	UnitsSystem	Units	dblConversionFactor	nPrecision	VeryLow	Low	High	VeryHigh					
Catalyst Dx	albumin	ALB	ALB	Avian	Conure	English	g/dL			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Conure	French	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Conure	S.I.	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Gray Cheek	English	g/dL			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Gray Cheek	French	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Gray Cheek	S.I.	g/L			0.3	0.75	4.9	6.2					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Blue and Gold	English	g/dL			0.2	0.42	1.89	2.4					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Blue and Gold	French	g/L			0.2	0.42	1.89	2.4					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Blue and Gold	S.I.	g/L			0.2	0.42	1.89	2.4					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Hyacinth	English	g/dL			0.5	1.4	2.03	2.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Hyacinth	French	g/L			0.5	1.4	2.03	2.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Hyacinth	S.I.	g/L			0.5	1.4	2.03	2.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Scarlet	English	g/dL			0.2	0.58	2.09	2.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Scarlet	French	g/L			0.2	0.58	2.09	2.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Macaw Scarlet	S.I.	g/L			0.2	0.58	2.09	2.6					
Catalyst Dx	albumin	ALB	ALB	Avian	Parrot Eclect	English	g/dL			0.2	0.6	1.71	2.2					
